,datetime,time,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
178,10/31/2017,19:45:00+00:00,Juventus,SCP,JUV,g,1,1,1.05,1.05,0.521,1.843,0.726,2.341,D,4
179,10/31/2017,19:45:00+00:00,Anderlecht,PSG,RSCA,g,5,0,5.007,0,2.31,0.157,3.013,0.549,B,4
180,10/31/2017,19:45:00+00:00,CSKA Moscow,BAS,CSKA,g,1,2,1.05,2.1,0.9,1.183,0.98,1.598,A,4
181,11/1/2017,17:00:00+00:00,AS Monaco,BES,MON,g,1,1,1.05,1.05,1.222,1.146,1.461,1.052,G,4
182,11/1/2017,19:45:00+00:00,NK Maribor,LIV,MAR,g,3,0,2.636,0,3.399,0.235,4.374,0.333,E,4
183,11/1/2017,19:45:00+00:00,Real Madrid,TOT,MAD,g,3,1,3.15,1.05,2.28,2.862,1.238,1.843,H,4
184,11/1/2017,19:45:00+00:00,Manchester City,NAP,MNC,g,2,4,2.1,3.675,1.778,1.628,1.153,1.84,F,4
185,11/1/2017,19:45:00+00:00,Apoel Nicosia,DOR,NIC,g,1,1,1.05,1.05,2.359,0.578,3.372,0.312,H,4
186,11/1/2017,19:45:00+00:00,Feyenoord,SHK,FEY,g,3,1,3.15,1.05,2.912,0.834,1.923,0.7,F,4
187,11/1/2017,19:45:00+00:00,RB Leipzig,POR,RBL,g,3,1,2.625,1.05,1.56,0.385,1.122,0.562,G,4
188,11/1/2017,19:45:00+00:00,Spartak Moscow,SEV,SPM,g,2,1,2.1,1.05,1.093,1.092,1.445,0.664,E,4
189,11/21/2017,17:00:00+00:00,FC Porto,BES,POR,g,1,1,1.05,1.05,0.89,0.711,0.617,0.645,G,5
190,11/21/2017,17:00:00+00:00,NK Maribor,SPM,MAR,g,1,1,1.05,1.05,1.458,1.23,2.188,0.91,E,5
191,11/21/2017,19:45:00+00:00,Real Madrid,NIC,MAD,g,0,6,0,6.3,0.414,3.789,0.667,2.468,H,5
192,11/21/2017,19:45:00+00:00,Feyenoord,MNC,FEY,g,1,0,1.05,0,1.271,0.258,2.106,0.359,F,5
193,11/21/2017,19:45:00+00:00,Shakhtar Donetsk,NAP,SHK,g,3,0,2.55,0,1.856,0.464,1.24,1.311,F,5
194,11/21/2017,19:45:00+00:00,Tottenham Hotspur,DOR,TOT,g,1,2,1.05,2.1,0.868,1.585,1.471,1.54,H,5
